ID,name,url
G0029,Scarlet Mimic,https://attack.mitre.org/groups/G0029
G1015,Scattered Spider,https://attack.mitre.org/groups/G1015
G1008,SideCopy,https://attack.mitre.org/groups/G1008
G0121,Sidewinder,https://attack.mitre.org/groups/G0121
G0091,Silence,https://attack.mitre.org/groups/G0091
G0122,Silent Librarian,https://attack.mitre.org/groups/G0122
G0083,SilverTerrier,https://attack.mitre.org/groups/G0083
G0054,Sowbug,https://attack.mitre.org/groups/G0054
G0038,Stealth Falcon,https://attack.mitre.org/groups/G0038
G0041,Strider,https://attack.mitre.org/groups/G0041
G0039,Suckfly,https://attack.mitre.org/groups/G0039
G1018,TA2541,https://attack.mitre.org/groups/G1018
G0062,TA459,https://attack.mitre.org/groups/G0062
G0092,TA505,https://attack.mitre.org/groups/G0092
G0127,TA551,https://attack.mitre.org/groups/G0127
G0088,TEMP.Veles,https://attack.mitre.org/groups/G0088
G0139,TeamTNT,https://attack.mitre.org/groups/G0139
G0089,The White Company,https://attack.mitre.org/groups/G0089
G0028,Threat Group-1314,https://attack.mitre.org/groups/G0028
G0027,Threat Group-3390,https://attack.mitre.org/groups/G0027
G0076,Thrip,https://attack.mitre.org/groups/G0076
G1022,ToddyCat,https://attack.mitre.org/groups/G1022
G0131,Tonto Team,https://attack.mitre.org/groups/G0131
G0134,Transparent Tribe,https://attack.mitre.org/groups/G0134
G0081,Tropic Trooper,https://attack.mitre.org/groups/G0081
G0010,Turla,https://attack.mitre.org/groups/G0010
G0123,Volatile Cedar,https://attack.mitre.org/groups/G0123
G1017,Volt Typhoon,https://attack.mitre.org/groups/G1017
G0090,WIRTE,https://attack.mitre.org/groups/G0090
G0107,Whitefly,https://attack.mitre.org/groups/G0107
G0124,Windigo,https://attack.mitre.org/groups/G0124
G0112,Windshift,https://attack.mitre.org/groups/G0112
G0044,Winnti Group,https://attack.mitre.org/groups/G0044
G0102,Wizard Spider,https://attack.mitre.org/groups/G0102
G0128,ZIRCONIUM,https://attack.mitre.org/groups/G0128
G0018,admin@338,https://attack.mitre.org/groups/G0018
G0045,menuPass,https://attack.mitre.org/groups/G0045
